"Address1","Address2","City","Email","Lat","Lng","Name","Phone","State","Website","Zip","_type"
"1826 North Loop 1604 West, Suite 100","","San Antonio","mary_kat20@hotmail.com","29.6066895","-98.5218196","Embrace Yourself Skincare and Waxing","(830) 275-0973","TX","https://squareup.com/store/eysw","78248","SkinscriptrxscraperItem"
"11333 Fountain Lake Drive, Suite D17","Located inside Gallery of Salons","Stafford","info@mirieffectskin.com","29.6395717","-95.5837117","MiriEffect Skincare","(301) 442-2795","TX","http://www.mirieffectskin.com/","77477","SkinscriptrxscraperItem"
"17300 Saturn Ln, Suite 106","","Houston","Info@skinsolutionstx.com","29.5581532","-95.1099939","Skin Solutions Day Spa","832-224-4623","TX","http://skinsolutionstx.com/","77058","SkinscriptrxscraperItem"
"1720 W FM 646, Suite B","","League City","Salonnaturale@gmail.com","29.4675822","-95.0872475","Salon Naturale","281-337-2400","TX","http://www.salonnaturale.com/","77573","SkinscriptrxscraperItem"
"16518 House and Hahl Rd.","Suite B-5","Cypress","casyocampo@yahoo.com","29.9624784","-95.7092435","Essence Of Beauty Skincare","832-677-2117 ","TX","http://www.essenceofbeautyskincare.com","77433","SkinscriptrxscraperItem"
"25000 Pitkin Rd, Suite 120","","Spring","pamware82@yahoo.com","30.1237982","-95.4388228","Doctor&#8217;s Weight Control Center","281-367-0070","TX","http://www.drrichardson.com/","77386","SkinscriptrxscraperItem"
"11717 Bauman #A","","Houston","facialbeauti@gmail.com","29.8708195","-95.3722378","Facial Services by Jackie","713-459-9729","TX","http://www.facialbeautibyjackie.com/","77076","SkinscriptrxscraperItem"
"960 W Round Bunch Rd","","Bridge City","tarafaye@saisirlejourdayspa.com","30.034931","-93.850295","Saisir Le Jour Day Spa","(409) 792-9246","TX","http://www.saisirlejourdayspa.com","77611","SkinscriptrxscraperItem"
"3333 Kingman Street","","Metairie","taryn.hallal@gmail.com","30.0062142","-90.1806255","The Skincare Lounge at The Gossip Shop Salon","(504) 837-4600","LA","http://www.theskincareloungela.com","70006","SkinscriptrxscraperItem"
"335 Girod Street","","Mandeville","","30.356337","-90.0661133","Kristi King | Your Skin &#038; Brow Specialist","(985) 778-8450","LA","http://www.skinandbrow.com","70448","SkinscriptrxscraperItem"
"2750 Racetrack Rd","Suite 101","Jacksonville","","30.1128736","-81.5904053","Massage Green Spa &#8211; Jacksonville","(904) 549-7535","FL","http://www.massagegreenspa.com/#!jacksonville-florida-racetrack/c1d63","32258","SkinscriptrxscraperItem"
"8825 Perimeter Park Blvd.","Suite 602","Jacksonville","","30.2526293","-81.5547011","Wild Berry Tea Spa","(904) 600-1960","FL","http://www.wildberryteaspa.com/","32216","SkinscriptrxscraperItem"
"7301 Burnet Rd, Studio 10","inside Sola Salon","Austin","chris@annachristinaesthetics.com","30.3481631","-97.7344522","Anna Christina Esthetics","512-206-6151","TX","http://annachristinaesthetics.com","78757","SkinscriptrxscraperItem"
"168 E. Martin Luther King","","Grand Coteau","","30.4074775","-92.0707707","Image Spa and Boutique","(337) 308-3621","LA","https://www.facebook.com/Image-Spa-and-Boutique-650865298274362/","70584","SkinscriptrxscraperItem"
"73015 Hwy 25, Suite E.","","Convington","beaskinjunkie@gmail.com","30.5007995","-90.1086352","Skin Junkie","(985) 888-9006","LA","http://www.skin-junkie.com","70435","SkinscriptrxscraperItem"
"12100 Hwy 49, Bldg 706","","Gulfport","","30.4595166","-89.1040348","Healing Garden / Peggy Baker","228.832.7666","MS","http://www.hgtms.com/","39503","SkinscriptrxscraperItem"
"231 5th St","","Biloxi","","30.4012615","-88.9086306","Palace Casino Resort","228.386.2012","MS","http://www.palacecasinoresort.com/Hotel/PureSpa/tabid/219/Default.aspx","39530","SkinscriptrxscraperItem"
"7850 Pine Forest Rd","","Pensacola","?skincarewithamyb@skincaretherapy.info","30.515829","-87.310794","Skin Care with Amy B. | at Somethin&#8217; 2 Talk About Salon","(850) 791-5804","FL","http://www.skincarewithamyb.skincaretherapy.info","32526","SkinscriptrxscraperItem"
"3047 Gulf Breeze Parkway","","Gulf Breeze","spasandrad@gmail.com","30.3848555","-87.0973271","Sash Spa by Sandra","850-449-9917","FL","https://www.facebook.com/spasandrad","32563","SkinscriptrxscraperItem"
"6325 Dogwood dr","","MIlton","rejuvenatesnspa@att.net","30.6657641","-87.0546567","Rejuvenate Skin, Nails and Body Spa","850-623-4006","FL","http://www.rejuvenatesnbspa.skincaretherapy.net/home","32570","SkinscriptrxscraperItem"
"215 E. 7th Ave","","Tallahassee","citrinespatally@gmail.com","30.457503","-84.280117","Citrine Spa &#038; Body Shop","850-668-2257","FL","http://www.citrinespatally.com/","32303","SkinscriptrxscraperItem"
"114 Cove Terrace Shopping Center","","Copperas Cover","","31.119912","-97.8978293","Skin Renascence/Theresa Dubberly","254-226-2655","TX","http://www.skinrenascence.com/","76522","SkinscriptrxscraperItem"
"1766 Memorial Drive Suite 2","","Waycross","skindeepstudiowayx@gmail.com","31.204559","-82.335679","Skin Deep Studio","912-590-2886","GA","http://skindeepwaycross.com/","31501","SkinscriptrxscraperItem"
"198 S Coronado Dr, Suite B-2","","Sierra Vista","touchvelvetski@gmail.com","31.5524014","-110.2781661","Touch Velvet Skin, LLC","520.678.0589","AZ","http://touchvelvetskin.skincaretherapy.net/","85635","SkinscriptrxscraperItem"
"1827 Paseo San Luis","Suite B","Sierra Vista","dragonflyfacials@gmail.com","31.535681","-110.254507","Dragonfly Facials","520-266-9942","Arizona","http://www.dragonflyfacials.com/","85635 ","SkinscriptrxscraperItem"
"6070 Gateway Blvd East, Suite 222","","El Paso","contact@soteriawellness.com","31.7801766","-106.4108555","Soteria Wellness","915-257-5565","TX","http://soteriawellness.com/","79905","SkinscriptrxscraperItem"
"267 W Duval Rd, Suite 105","","Green Valley","modernbeautybar@yahoo.com","31.8994207","-110.9934504","Modern Beauty Bar","520-539-5870","AZ","http://www.modernbeautybarllc.com/","85614","SkinscriptrxscraperItem"
"5630 E. Pima Street","","Tucson","","32.2431876","-110.871868","Incandescent Skin and Waxing Studio","(520) 812-6802","AZ","http://www.incandescentskin.com","85712","SkinscriptrxscraperItem"
"5160 E. Glenn Street","Suite 150","Tucson","","32.2570547","-110.8819976","Pampered Skin Enterprises, LLC.","(520) 400-8109","AZ","","85712","SkinscriptrxscraperItem"
"2200 E. River Rd., Suite 120","","Tucson","","32.2862661","-110.9390568","Allure Medical / Saejah Tapp","520-365-5028","AZ","http://www.alluremedicalskin.com/","85718","SkinscriptrxscraperItem"
"4249 West Ina Road","#105","Tucson","skinologystudio@gmail.com","32.3360385","-111.0556804","Skinology Skin &#038; Body Studio","520-477-7708","AZ ","http://www.skinologystudio.com/","85741","SkinscriptrxscraperItem"
"7484 N. La Cholla Blvd.","","Tucson","Annettenacim@gmail.com","32.3427739","-111.0117975","Annette Nacim Waxing &#038; Skincare LLC","520-331-1100","AZ","http://www.annettenacimskincare.com/","85741","SkinscriptrxscraperItem"
"7484 North La Cholla Blvd.","","Tucson","bethanysnails@gmail.com","32.3428078","-111.0117986","Perfectly Polished LLC","520-909-2084","Arizona","http://www.perfectlypolishedtucson.skincaretherapy.net/","85706","SkinscriptrxscraperItem"
"8383 Center Dr., Suite J","","La Mesa","","32.7754885","-117.0156845","Lumos Skincare Studio/Meghan Magill","619-832-4747","CA","https://www.vagaro.com/lumosskincarestudio","91942","SkinscriptrxscraperItem"
"123 W. Washington St.","","San Diego","info@dkhair.net","32.7497166","-117.1643761","DK Hair","619-546-4550","CA","http://www.dkhair.com/","92103","SkinscriptrxscraperItem"
"4026 Hawk St Suite H","","San Diego","pureskinlounge@gmail.com","32.7504173","-117.1725949","Pure Skin Lounge","(619) 354-6826","CA","http://www.pureskinlounge.com","92103","SkinscriptrxscraperItem"
"10201 Mission Gorge Rd","Suite D","Santee","fabskinbyVanessa@gmail.com","32.8370706","-116.975943","skinFIT by Vanessa","619-244-5336","CA","http://www.skinfitsd.com/","92071","SkinscriptrxscraperItem"
"311 South Imperial Ave","","Imperial","mmskinspa@att.net","32.8449529","-115.570279","Melissa Michaels Spa &#038; Salon","760-355-4777","CA","http://www.mmdayspa.com/","92251","SkinscriptrxscraperItem"
"900 Hemphill St","","Fort Worth","apskincare@att.net","32.7353347","-97.3319193","Ageless Perfection Skin Care Studio","817-888-5247","TX","http://agelessperfectionskincare.skincaretherapy.net/","76104","SkinscriptrxscraperItem"
"708 Hunters Row","Suite 104","Mansfield","lauren@peaceandenergyspa.com","32.598978","-97.128164","Peace and Energy Spa","817-308-9051","TX","http://www.peaceandenergyspa.com/","76063","SkinscriptrxscraperItem"
"8500 N Stemmons Freeway","Suite 5060","Dallas","Lacedlashesbylonice@gmail.com","32.8280412","-96.8717167","Laced by Lonice Spa and Boutique | at 13Twentyvi","(214) 725-9871","TX","http://www.vagaro.com/13twentyvi","75247","SkinscriptrxscraperItem"
"1414 S. Main Suite #C13","","Lindale","Crimson.fabulousyou@yahoo.com","32.502245","-95.405755","Fabulous You Spa","903-881-6015 or cell 903-520","TX","http://www.Facebook.com/fabulousyoulindale","75771","SkinscriptrxscraperItem"
"7500 Veterans Pkwy","","Columbus","skintherapybyalicia@gmail.com","32.556461","-84.944061","Salon Bellage and Day Spa","(706) 561-1454","GA","http://www.salonbellage.net/","31909","SkinscriptrxscraperItem"
"29A Market #1","","Beaufort","trinitywellnessspa@gmail.com","32.428103","-80.775248","Trinity Wellness Spa","(843) 846-9000","SC","http://www.trinitywellnessspa.com/","29906","SkinscriptrxscraperItem"
"925 Wappoo Road","","Charleston","natalie_venancio@yahoo.com","32.7943966","-80.017736","Esthetic&#8217;s by Natalie","864-567-1743","SC","http://www.estheticsbynataliespa.com/","29407","SkinscriptrxscraperItem"
"2969 State St","","Carlsbad","jilljenee@gmail.com","33.1597811","-117.3492143","Get The Skin-ny","760-908-9058","CA","http://www.gettheskin-ny.com/","92008","SkinscriptrxscraperItem"
"4822 Gallatin Way","","San Diego","serenityskincareandspa@gmail.com","32.8360724","-117.222281","Serenity Skincare &#038; Spa","(858) 255-4459","CA","http://www.serenityskincare.weebly.com","92117","SkinscriptrxscraperItem"
"574 E. Mission Rd","Suite F","San Marcos","Edenenvy@live.com","33.1455089","-117.1499292","Skin Eden &#038; Eyelash Envy","760-798-1128","CA","http://www.edenenvy.com/","92069","SkinscriptrxscraperItem"
"12751 Poway Road, Suite 101","","Poway","tlcaesthetics@yahoo.com","32.9553313","-117.054632","The Laser Center &amp; Aesthetics","858-679-7070","California","http://tlcaesthetics.org/","92064","SkinscriptrxscraperItem"
"1347 Tavern Rd","","Alpine ","","32.8369512","-116.7777275","Skin by Stacy @ Studio B","(619) 820-0679","CA","","91901","SkinscriptrxscraperItem"
"414 N Marshall St","Suite B ","Casa Grande","whitehse7@gmail.com","32.877818","-111.751645","Skin Diva Spa","(623) 512-5967","AZ","http://www.skindivaaesthetics.com","85122","SkinscriptrxscraperItem"
"1345 E. Chandler Blvd., Bldg 1, Ste 105","","Phoenix","","33.3049428","-112.0528314","DermaHealth Institute of Ahwatukee","480-460-1505","Arizona","http://www.dermahealthinstitute.com","85048","SkinscriptrxscraperItem"
"950 E Pecos Rd. Suite #11 ","Room #9","Chandler","bettsskin@gmail.com","33.29178","-111.8254823","Stephanie Betts @ Serendipity Skin","480-332-8619","AZ","","85225","SkinscriptrxscraperItem"
"6510 S. Highley Rd., Suite 102","","Gilbert","","33.2327062","-111.7213375","Tranquil Waters Med Spa","480-773-5772","AZ","http://www.tranquilwatersmedspa.com/","85298","SkinscriptrxscraperItem"
"6318 S Higley Rd","Suite 102, Studio #16","Gilbert","abbymilord@gmail.com","33.235198","-111.72259","Abby Milord Skin Care with Susan Rhodes L.E.","480-427-1979","AZ","http://www.abbymilord.com","85298","SkinscriptrxscraperItem"
"4100 S. Lindsay Rd, Bldg. 6, Suite 121","Inside Expressions Wax Spa","Gilbert","mcphersonfamily@cox.net","33.2749274","-111.7733829","Radiance Skin Spa/Paula McPherson","602-370-1875","AZ","http://radianceskinspa.com/","85297","SkinscriptrxscraperItem"
"1006 E Warner Rd.","Suite 110","Tempe","faceitskincareaz@gmail.com","33.3353841","-111.9270761","Face It Skincare","(480) 518-2775","","http://www.faceitskincareaz.com","85284","SkinscriptrxscraperItem"
"1730 E. Warner Rd. ","Ste. 5","Tempe","","33.3352783","-111.9127525","Just For You Salon","480-752-8100","AZ","http://www.justforyouintempe.com/"," 85284","SkinscriptrxscraperItem"
"8058 S. Priest Dr.","Suite 101","Tempe","Relax@TherapeuticRetreat.com","33.3418237","-111.9631435","Therapeutic Retreat","(480) 626-6200","AZ","http://www.therapeuticretreat.com","85284","SkinscriptrxscraperItem"
"2905 W. Warner Rd., Suite 17","","Chandler","","33.333925","-111.891194","DermaHealth Institute of Chandler","480-730-9000","Arizona","http://www.dermahealthinstitute.com","85224","SkinscriptrxscraperItem"
"10831 S. 51st Street","","Phoenix","info@sundancespaandsalon.com","33.3478353","-111.9734502","Sundance Spa &#038; Salon","(480) 893-0300","AZ","http://sundancespasalon.com/","85044","SkinscriptrxscraperItem"
"3251 E Bonanza Rd","","Gilbert","loveyourskinbymisty@gmail.com","33.288204","-111.719583","Love Your Skin by Misty","(480) 266-9016","AZ","","85297","SkinscriptrxscraperItem"
"3121 Cross Timbers Rd","Suite 400","Flower Mound","","33.037377","-97.078671","A Unique Boutique &#038; Spa, LLC"," (469) 240-9673","TX","http://www.auniqueboutiquespa.com/","75028","SkinscriptrxscraperItem"
"Bellezza Salon Suites","6101A Windhaven Pkwy, Suite 150","Plano","","33.0386278","-96.8243812","Auraa Spa &#038; Restoration / Farzeen Elavia","469-631-1010 (phone or text)","TX","http://www.auraaspa.com/","75093","SkinscriptrxscraperItem"
"3700 Legacy Drive","","Frisco","mesthetics1@gmail.com","33.109895","-96.8389909","M Esthetics","972-638-8039","TX","http://www.monicaesthetics.com/","75034","SkinscriptrxscraperItem"
"5925 Forest Ln","","Dallas","casskiss@sbcglobal.net","32.9101989","-96.8053493","Skin Integrity Clinical Skincare","972-980-0833","TX","","75230","SkinscriptrxscraperItem"
"4425 N. Central Expressway","Suite 41","Dallas","Butterflycyn@aol.com ","32.8199721","-96.7878514","Cynthia&#8217;s Wax &#038; Skincare Studio","(214) 207-2430","TX","http://www.butterflycyn.com/","75205","SkinscriptrxscraperItem"
"905 Market St, Suite 200-136","","Allen","Destiny.dspa@gmail.com","33.0872479","-96.6834712","Destiny Day Spa by Donyea","469-667-1638","TX","http://www.destinyspa.net/","75013","SkinscriptrxscraperItem"
"6851 Virginia Pkwy #203","","McKinney","Amy@AvilaSkinStudio.com","33.198395","-96.7078028","Avila Skin Studio","469-283-8185","TX","http://www.avilaskinstudio.com/","75071","SkinscriptrxscraperItem"
"109 West Oak St. ","","Griffin","adk4287@gmail.com","33.2430782","-84.2649264","Spa Angelique","678-972-6297","CA","","30224","SkinscriptrxscraperItem"
"208 E. 2nd N St.","","Summerville","","33.02122","-80.170858","Total Wellness","(843) 261-8911","SC","http://www.mytotalwellnessmedical.com/","29483","SkinscriptrxscraperItem"
"","","San Pedro","lindachacon@gmail.com","33.7358518","-118.2922934","Linda Martin","310-514-9372","California","","","SkinscriptrxscraperItem"
"1728 S. Catalina","Suite 4","Redondo Beach","newlaserimage@gmail.com","33.817459","-118.387371","The Laser Image Company","310-543-9073","CA","http://www.newlaserimage.com","90277","SkinscriptrxscraperItem"
"711 W 17th St.","Suite C-2","Costa Mesa","jamie@truskinrituals.com","33.6352434","-117.9286253","Tru Skin Rituals","(714) 906-4356","CA","http://www.truskinrituals.com","92627","SkinscriptrxscraperItem"
"16785 Beach Blvd","Suite A","Huntington Beach","brigoodall@gmail.com","33.718855","-117.989265","The Beauty Room","714-841-2131 or 714-296-8789","CA","http://thebeautyroombythebeach.com/","92647","SkinscriptrxscraperItem"
"17775 Main St., Ste L","","Irvine","info@studiocosmetique.com","33.6867692","-117.8581596","Studio Cosmetique (inside Tranquility Spa &#038; Salon)","888-981-9440","California","http://www.studiocosmetique.com/","92614","SkinscriptrxscraperItem"
"16561 Bolsa Chica St","Suite 100","Huntington Beach","","33.7215505","-118.0421","Massage Serene Spa/Myranda Poletiek","714-477-0525","CA","http://massageserenespa.com/","92649","SkinscriptrxscraperItem"
"","","Aliso Viejo","tanya@radiantfacesandwraps.com","33.5676842","-117.7256083","Radiant Faces and Wraps","949-466-0825","CA","http://www.radiantfacesandwraps.com/","92656","SkinscriptrxscraperItem"
"34179 Golden Lantern","Suite 101","Dana Point","","33.466151","-117.698216","Spa Alana","949-276-5827","CA ","http://www.skincarebyalana.com","92629","SkinscriptrxscraperItem"
"120 Marina Drive","","Long Beach","THAIRAPYSALONSPA@YAHOO.COM","33.7475761","-118.1138273","Jessie Oshann- Thairapy Salon and Spa","562.430.2355","CA","http://www.thairapysalonlongbeach.com/","90803","SkinscriptrxscraperItem"
"Come Spa With Me  28251 Crown Valley Pkwy. Ste. J","Located inside the Ralph's shopping center.","Laguna Niguel","info@comespawithmeoc.com","33.5547479","-117.68672","Come Spa With Me","949-916-7351","CA","http://www.comespawithmeoc.com/index.html","92677","SkinscriptrxscraperItem"
"13481 Euclid Street, Ste D","","Garden Grove","hello@lepetitskin.com","33.7672331","-117.9381891","Le Petit Skin Retreat","(714) 363-7869","CA","http://www.lepetitskin.com","92843","SkinscriptrxscraperItem"
"1218 Irvine Blvd Suite 15","","Tustin","spagirl64@gmail.com","33.7460318","-117.8089315","Adonis Spa","714.904.2240","CA","","92780","SkinscriptrxscraperItem"
"1945 E 17th St, Suite 107","","Santa Ana","","33.7609429","-117.838456","Massage Green Spa | Santa Ana","714-604-4644","CA","http://www.massagegreenspa.com/#!santa-ana-california/cwur","92705","SkinscriptrxscraperItem"
"10181 Valley View St","Suite 109","Cypress","Myndeec33@yahoo.com","33.8146517","-118.0294207","Dare to be Bare","(714) 651-1935","CA","","90630","SkinscriptrxscraperItem"
"421 Pine Ave","","Long Beach","skincareapist@gmail.com","33.7720194","-118.1927635","Augusta Sweet | Sacred Skincareapy (inside Skin Diversity Day Spa)","(562) 980-2696","CA","http://sacredskincareapy.skincaretherapy.net/","90802","SkinscriptrxscraperItem"
"1421 N Wanda Rd","Suite 180","Villa Park","devyn@psblounge.com","33.8111554","-117.8216345","Pure Skin &#038; Body Lounge","714-450-5118","CA","http://www.psblounge.com/","92867","SkinscriptrxscraperItem"
"29950 Hunter Road #101","","Murrieta","laruesmassage@gmail.com","33.5693063","-117.1365165","LaRue&#8217;s Massage &#038; Bodywork Spa","(951) 461-8377","CA","http://www.laruesmassageandbodywork.com/","92563","SkinscriptrxscraperItem"
"31720 Temecula Parkway","Suite 200","Temecula","lvlvllaugh@hotmail.com","33.4803722","-117.103519","Advanced Dermatology &#038; Skin Cancer Specialists | Eulalia Papineau","951-303-6900","CA","http://www.advanceddermspecialists.com/","92592","SkinscriptrxscraperItem"
"19771 Grandview Dr.","","Corona","captivatiingskin@aol.com","33.832566","-117.52592","Captivating Skin by Margo: Margo Koeller","951-818-4808 ","CA","http://www.captivating.skincaretherapy.net/","92881","SkinscriptrxscraperItem"
"1211 W. Acacia Avenue Ste. P","","Hemet","facial_garden@yahoo.com","33.7435095","-116.9837619","Facial Garden Skin Care &#038; Wellness","(951) 255-0994","CA","http://www.facialgardenspa.com","92543","SkinscriptrxscraperItem"
"73-725 El Paseo  ","Suite 21-C   ","Palm Desert","stacyluzzi@gmail.com ","33.7195772","-116.3789096","Stacy Luzzi","760-567-9246","CA","http://www.stacyluzzi.com","92260","SkinscriptrxscraperItem"
"","","Palm Desert","iteatralka@aol.com","33.7222445","-116.3744556","Nataliya Levytska","760-298-4408","California","","","SkinscriptrxscraperItem"
