Name,Address1,Address2,City,State,Zip,Phone,Email,Website,Lat,Lng,_type
Kristin Lee Skincare,At Salon Lofts-Paradise Plaza,"3800 S Tamiami Trail, Loft 21",Sarasota,FL,34239,941-321-4694,,http://salonlofts.com/kristin_lee,27.3003048,-82.5327804,SkinscriptrxscraperItem
Skin &#038; Tonic Facial Bar,"5917 Manatee Ave W, Suite 109",,Bradenton,FL,34209,941-306-1227,skinandtonicfacialbar@gmail.com,http://www.skinandtonicfacialbar.com/,27.495458,-82.6224359,SkinscriptrxscraperItem
Massage Therapy Connection,9020 58th Dr. E,Suite 101,Lakewood Ranch,FL,34202,941-755-0406,mamaloney.lmt@gmail.com,http://massagetherapyconnections.massagetherapy.com/about-our-practitioners,27.4366009,-82.4490485,SkinscriptrxscraperItem
Vse V,"111 2nd. Ave. NE, Suite 202",Plaza Courtyard Shops - 2nd Floor,St. Petersburg,FL,33701,727-560-6644 ,yhughes1@tampabay.rr.com ,http://www.vsev.skincaretherapy.net/,27.7742295,-82.6335143,SkinscriptrxscraperItem
The Studio of Health and Beauty,1981 US 27 South,,Sebring ,FL,33870,(863) 386 0822,,http://www.studioofhealthandbeauty.com,27.4710464,-81.457519,SkinscriptrxscraperItem
Carol&#8217;s Massage Therapy and Facials,11800 Shipwatch Dr,,Largo,FL,33774,727-698-9232,therapistcarol@gmail.com,http://carolsmassageandfacials.com/,27.8803897,-82.8453623,SkinscriptrxscraperItem
Carol&#8217;s Massage Therapy and Esthetics,11800 Shipwatch Drive,,Largo,FL,33774,727-698-9232,therapistcarol@gmail.com,,27.881025,-82.842829,SkinscriptrxscraperItem
VitalizeMe Skin Therapy,350 Alt 19 North,Suite A,Palm Harbor,FL,34683,727-744-4636,vitalizemeskintherapy@aol.com,http://vitalizemeskintherapy.com/,28.0709842,-82.767934,SkinscriptrxscraperItem
Massage Green Spa | Tampa,19040 Bruce B. Downs Blvd,,Tampa,FL,33647,(813) 333-7703,,,28.1450732,-82.3533843,SkinscriptrxscraperItem
Tranquil Escape Skin and Nails,713 Lithia Pinecrest Road,,Brandon,FL,33511,(813) 857-5371,,https://www.facebook.com/TranquilEscapeSkinAndNails/,27.9280418,-82.2741331,SkinscriptrxscraperItem
"Kimberly Vittoe &#8211; Skin, Waxing, Nails",13210 Boyette road,[In Lena Maxey Salon],Riverview,FL,33569,813-263-3588,Kvittoe@hotmail.com,https://www.vagaro.com/kimberlyvittoe,27.8543827,-82.2726211,SkinscriptrxscraperItem
Serenity Salon &#038; Spa Suite / Pamela Edmonson,33913 State Rd 54,Suite 101,Wesley Chapel,FL,33543,813-731-3350,,https://www.facebook.com/Serenity-Salon-Spa-Suites-489979134527120/,28.219046,-82.26022,SkinscriptrxscraperItem
"The Face Place, LLC | Traci Walding, Esthetician",110 E. Reynolds Street,Suite 601,Plant City,FL,33563,(813) 763-6166,,,28.0165107,-82.1229213,SkinscriptrxscraperItem
Body Allures,1118 South Florida Ave,,Lakeland,FL,33803,863-450-6676,brittany@bodyallures.com,http://www.bodyallures.com/,28.0279963,-81.9569712,SkinscriptrxscraperItem
Beauty &#038; Bella,11325 Darlington Dr,,Orlando,FL,32837,407-251-5021,beautyandbella@gmail.com,,28.1799333,-81.4848233,SkinscriptrxscraperItem
Spa Orlando,23 N. Summerlin Avenue,,Orlando,FL,32801,407-649-8889,spaorlando@me.com,http://spaorlando.com/,28.5430397,-81.368219,SkinscriptrxscraperItem
La Ti Da Spa,205 South Highland Avenue,,Apopka,FL,32703,407-886-0085,latidasalonandspa@gmail.com,http://www.latidasalonandspa.skincaretherapy.net,28.675344,-81.505039,SkinscriptrxscraperItem
Serenity Spa &#038; Salon,551 N. Park Ave,,Apopka,FL,32712,(407) 703-5961,mail@serenityspasalonapopka.com,http://www.serenityspasalonapopka.com,28.6894284,-81.5090628,SkinscriptrxscraperItem
BodyMx Massage &#038; Skincare,407 Center Pointe Circle,Suite 1647,Altamonte Springs,FL,32701,407-494-2272,Melissa@body-mx.com,http://www.body-mx.com/,28.6689784,-81.3864525,SkinscriptrxscraperItem
The Face Place,1455 SR 436 #299,Suite 115,Casselberry,FL,32707,407-923-7230,thefaceplaceorg@aol.com,http://www.thefaceplaceorganics.org ,28.6272917,-81.3191885,SkinscriptrxscraperItem
Skin-eeZ,1548 Seminola Blvd. Suite 110,,Casselberry,FL,32707,(931) 627-9141,skineezstudio@gmail.com,,28.67675,-81.3071897,SkinscriptrxscraperItem
"Pretty Simple Skin Solutions, LLC  (at 5th Element Healing Spa)",5965 Red Bug Lake Rd #221,,Winter Springs,FL,32708,407-702-1140,info@prettysimpleskinsolutions.com,http://www.prettysimpleskinsolutions.com/,28.64605,-81.2651439,SkinscriptrxscraperItem
"Simplicity Facials, LLC (at Studio 209 Salon)",209 N. Country Club Road,,Lake Mary,FL,32746,407-529-8403,,,28.7608948,-81.3220588,SkinscriptrxscraperItem
Carla Wiedman Studio,3A Orange Ave,,Rockledge,FL,32955,(321) 536-0871,,https://www.facebook.com/Carla-Wiedman-A-Private-Nail-Studio-891373980923222/,28.3359359,-80.7173913,SkinscriptrxscraperItem
Eye Candy Lash Bar &#038; Esthetics | Amie Guidry,4619 Fort Crockett Suite B,,Galveston,TX,77550,(409) 457-0645,,https://www.facebook.com/amieEyecandylashbar,29.2762068,-94.8135344,SkinscriptrxscraperItem
"Eco Skin Pro, LLC","1780 South Nova Road, Ste 10-D",,South Daytona,FL,32119,(386) 290-3731,info@EcoSkinPro.com?,http://www.ecoskinpro.com/,29.1680787,-81.025534,SkinscriptrxscraperItem
About Face | William Bailey,"3615 Broadway , Suite 3","located inside Rock, Paper, Scissors Salon",San Antonio,TX,78209,210-244-3429,,http://www.aboutfacesa.com/,29.4600523,-98.4681392,SkinscriptrxscraperItem
Embrace Yourself Skincare and Waxing,"1826 North Loop 1604 West, Suite 100",,San Antonio,TX,78248,(830) 275-0973,mary_kat20@hotmail.com,https://squareup.com/store/eysw,29.6066895,-98.5218196,SkinscriptrxscraperItem
MiriEffect Skincare,"11333 Fountain Lake Drive, Suite D17",Located inside Gallery of Salons,Stafford,TX,77477,(301) 442-2795,info@mirieffectskin.com,http://www.mirieffectskin.com/,29.6395717,-95.5837117,SkinscriptrxscraperItem
Skin Solutions Day Spa,"17300 Saturn Ln, Suite 106",,Houston,TX,77058,832-224-4623,Info@skinsolutionstx.com,http://skinsolutionstx.com/,29.5581532,-95.1099939,SkinscriptrxscraperItem
Salon Naturale,"1720 W FM 646, Suite B",,League City,TX,77573,281-337-2400,Salonnaturale@gmail.com,http://www.salonnaturale.com/,29.4675822,-95.0872475,SkinscriptrxscraperItem
Essence Of Beauty Skincare,16518 House and Hahl Rd.,Suite B-5,Cypress,TX,77433,832-677-2117 ,casyocampo@yahoo.com,http://www.essenceofbeautyskincare.com,29.9624784,-95.7092435,SkinscriptrxscraperItem
Doctor&#8217;s Weight Control Center,"25000 Pitkin Rd, Suite 120",,Spring,TX,77386,281-367-0070,pamware82@yahoo.com,http://www.drrichardson.com/,30.1237982,-95.4388228,SkinscriptrxscraperItem
Facial Services by Jackie,11717 Bauman #A,,Houston,TX,77076,713-459-9729,facialbeauti@gmail.com,http://www.facialbeautibyjackie.com/,29.8708195,-95.3722378,SkinscriptrxscraperItem
Saisir Le Jour Day Spa,960 W Round Bunch Rd,,Bridge City,TX,77611,(409) 792-9246,tarafaye@saisirlejourdayspa.com,http://www.saisirlejourdayspa.com,30.034931,-93.850295,SkinscriptrxscraperItem
The Skincare Lounge at The Gossip Shop Salon,3333 Kingman Street,,Metairie,LA,70006,(504) 837-4600,taryn.hallal@gmail.com,http://www.theskincareloungela.com,30.0062142,-90.1806255,SkinscriptrxscraperItem
Kristi King | Your Skin &#038; Brow Specialist,335 Girod Street,,Mandeville,LA,70448,(985) 778-8450,,http://www.skinandbrow.com,30.356337,-90.0661133,SkinscriptrxscraperItem
Massage Green Spa &#8211; Jacksonville,2750 Racetrack Rd,Suite 101,Jacksonville,FL,32258,(904) 549-7535,,http://www.massagegreenspa.com/#!jacksonville-florida-racetrack/c1d63,30.1128736,-81.5904053,SkinscriptrxscraperItem
Wild Berry Tea Spa,8825 Perimeter Park Blvd.,Suite 602,Jacksonville,FL,32216,(904) 600-1960,,http://www.wildberryteaspa.com/,30.2526293,-81.5547011,SkinscriptrxscraperItem
Anna Christina Esthetics,"7301 Burnet Rd, Studio 10",inside Sola Salon,Austin,TX,78757,512-206-6151,chris@annachristinaesthetics.com,http://annachristinaesthetics.com,30.3481631,-97.7344522,SkinscriptrxscraperItem
Image Spa and Boutique,168 E. Martin Luther King,,Grand Coteau,LA,70584,(337) 308-3621,,https://www.facebook.com/Image-Spa-and-Boutique-650865298274362/,30.4074775,-92.0707707,SkinscriptrxscraperItem
Skin Junkie,"73015 Hwy 25, Suite E.",,Convington,LA,70435,(985) 888-9006,beaskinjunkie@gmail.com,http://www.skin-junkie.com,30.5007995,-90.1086352,SkinscriptrxscraperItem
Healing Garden / Peggy Baker,"12100 Hwy 49, Bldg 706",,Gulfport,MS,39503,228.832.7666,,http://www.hgtms.com/,30.4595166,-89.1040348,SkinscriptrxscraperItem
Palace Casino Resort,231 5th St,,Biloxi,MS,39530,228.386.2012,,http://www.palacecasinoresort.com/Hotel/PureSpa/tabid/219/Default.aspx,30.4012615,-88.9086306,SkinscriptrxscraperItem
Skin Care with Amy B. | at Somethin&#8217; 2 Talk About Salon,7850 Pine Forest Rd,,Pensacola,FL,32526,(850) 791-5804,?skincarewithamyb@skincaretherapy.info,http://www.skincarewithamyb.skincaretherapy.info,30.515829,-87.310794,SkinscriptrxscraperItem
Sash Spa by Sandra,3047 Gulf Breeze Parkway,,Gulf Breeze,FL,32563,850-449-9917,spasandrad@gmail.com,https://www.facebook.com/spasandrad,30.3848555,-87.0973271,SkinscriptrxscraperItem
"Rejuvenate Skin, Nails and Body Spa",6325 Dogwood dr,,MIlton,FL,32570,850-623-4006,rejuvenatesnspa@att.net,http://www.rejuvenatesnbspa.skincaretherapy.net/home,30.6657641,-87.0546567,SkinscriptrxscraperItem
Citrine Spa &#038; Body Shop,215 E. 7th Ave,,Tallahassee,FL,32303,850-668-2257,citrinespatally@gmail.com,http://www.citrinespatally.com/,30.457503,-84.280117,SkinscriptrxscraperItem
Skin Renascence/Theresa Dubberly,114 Cove Terrace Shopping Center,,Copperas Cover,TX,76522,254-226-2655,,http://www.skinrenascence.com/,31.119912,-97.8978293,SkinscriptrxscraperItem
Skin Deep Studio,1766 Memorial Drive Suite 2,,Waycross,GA,31501,912-590-2886,skindeepstudiowayx@gmail.com,http://skindeepwaycross.com/,31.204559,-82.335679,SkinscriptrxscraperItem
"Touch Velvet Skin, LLC","198 S Coronado Dr, Suite B-2",,Sierra Vista,AZ,85635,520.678.0589,touchvelvetski@gmail.com,http://touchvelvetskin.skincaretherapy.net/,31.5524014,-110.2781661,SkinscriptrxscraperItem
Dragonfly Facials,1827 Paseo San Luis,Suite B,Sierra Vista,Arizona,85635,520-266-9942,dragonflyfacials@gmail.com,http://www.dragonflyfacials.com/,31.535681,-110.254507,SkinscriptrxscraperItem
Soteria Wellness,"6070 Gateway Blvd East, Suite 222",,El Paso,TX,79905,915-257-5565,contact@soteriawellness.com,http://soteriawellness.com/,31.7801766,-106.4108555,SkinscriptrxscraperItem
Modern Beauty Bar,"267 W Duval Rd, Suite 105",,Green Valley,AZ,85614,520-539-5870,modernbeautybar@yahoo.com,http://www.modernbeautybarllc.com/,31.8994207,-110.9934504,SkinscriptrxscraperItem
Incandescent Skin and Waxing Studio,5630 E. Pima Street,,Tucson,AZ,85712,(520) 812-6802,,http://www.incandescentskin.com,32.2431876,-110.871868,SkinscriptrxscraperItem
"Pampered Skin Enterprises, LLC.",5160 E. Glenn Street,Suite 150,Tucson,AZ,85712,(520) 400-8109,,,32.2570547,-110.8819976,SkinscriptrxscraperItem
Allure Medical / Saejah Tapp,"2200 E. River Rd., Suite 120",,Tucson,AZ,85718,520-365-5028,,http://www.alluremedicalskin.com/,32.2862661,-110.9390568,SkinscriptrxscraperItem
Skinology Skin &#038; Body Studio,4249 West Ina Road,#105,Tucson,AZ ,85741,520-477-7708,skinologystudio@gmail.com,http://www.skinologystudio.com/,32.3360385,-111.0556804,SkinscriptrxscraperItem
Annette Nacim Waxing &#038; Skincare LLC,7484 N. La Cholla Blvd.,,Tucson,AZ,85741,520-331-1100,Annettenacim@gmail.com,http://www.annettenacimskincare.com/,32.3427739,-111.0117975,SkinscriptrxscraperItem
Perfectly Polished LLC,7484 North La Cholla Blvd.,,Tucson,Arizona,85706,520-909-2084,bethanysnails@gmail.com,http://www.perfectlypolishedtucson.skincaretherapy.net/,32.3428078,-111.0117986,SkinscriptrxscraperItem
Lumos Skincare Studio/Meghan Magill,"8383 Center Dr., Suite J",,La Mesa,CA,91942,619-832-4747,,https://www.vagaro.com/lumosskincarestudio,32.7754885,-117.0156845,SkinscriptrxscraperItem
DK Hair,123 W. Washington St.,,San Diego,CA,92103,619-546-4550,info@dkhair.net,http://www.dkhair.com/,32.7497166,-117.1643761,SkinscriptrxscraperItem
Pure Skin Lounge,4026 Hawk St Suite H,,San Diego,CA,92103,(619) 354-6826,pureskinlounge@gmail.com,http://www.pureskinlounge.com,32.7504173,-117.1725949,SkinscriptrxscraperItem
skinFIT by Vanessa,10201 Mission Gorge Rd,Suite D,Santee,CA,92071,619-244-5336,fabskinbyVanessa@gmail.com,http://www.skinfitsd.com/,32.8370706,-116.975943,SkinscriptrxscraperItem
Melissa Michaels Spa &#038; Salon,311 South Imperial Ave,,Imperial,CA,92251,760-355-4777,mmskinspa@att.net,http://www.mmdayspa.com/,32.8449529,-115.570279,SkinscriptrxscraperItem
Ageless Perfection Skin Care Studio,900 Hemphill St,,Fort Worth,TX,76104,817-888-5247,apskincare@att.net,http://agelessperfectionskincare.skincaretherapy.net/,32.7353347,-97.3319193,SkinscriptrxscraperItem
Peace and Energy Spa,708 Hunters Row,Suite 104,Mansfield,TX,76063,817-308-9051,lauren@peaceandenergyspa.com,http://www.peaceandenergyspa.com/,32.598978,-97.128164,SkinscriptrxscraperItem
Laced by Lonice Spa and Boutique | at 13Twentyvi,8500 N Stemmons Freeway,Suite 5060,Dallas,TX,75247,(214) 725-9871,Lacedlashesbylonice@gmail.com,http://www.vagaro.com/13twentyvi,32.8280412,-96.8717167,SkinscriptrxscraperItem
Fabulous You Spa,1414 S. Main Suite #C13,,Lindale,TX,75771,903-881-6015 or cell 903-520,Crimson.fabulousyou@yahoo.com,http://www.Facebook.com/fabulousyoulindale,32.502245,-95.405755,SkinscriptrxscraperItem
Salon Bellage and Day Spa,7500 Veterans Pkwy,,Columbus,GA,31909,(706) 561-1454,skintherapybyalicia@gmail.com,http://www.salonbellage.net/,32.556461,-84.944061,SkinscriptrxscraperItem
Trinity Wellness Spa,29A Market #1,,Beaufort,SC,29906,(843) 846-9000,trinitywellnessspa@gmail.com,http://www.trinitywellnessspa.com/,32.428103,-80.775248,SkinscriptrxscraperItem
Esthetic&#8217;s by Natalie,925 Wappoo Road,,Charleston,SC,29407,864-567-1743,natalie_venancio@yahoo.com,http://www.estheticsbynataliespa.com/,32.7943966,-80.017736,SkinscriptrxscraperItem
Get The Skin-ny,2969 State St,,Carlsbad,CA,92008,760-908-9058,jilljenee@gmail.com,http://www.gettheskin-ny.com/,33.1597811,-117.3492143,SkinscriptrxscraperItem
Serenity Skincare &#038; Spa,4822 Gallatin Way,,San Diego,CA,92117,(858) 255-4459,serenityskincareandspa@gmail.com,http://www.serenityskincare.weebly.com,32.8360724,-117.222281,SkinscriptrxscraperItem
Skin Eden &#038; Eyelash Envy,574 E. Mission Rd,Suite F,San Marcos,CA,92069,760-798-1128,Edenenvy@live.com,http://www.edenenvy.com/,33.1455089,-117.1499292,SkinscriptrxscraperItem
The Laser Center &amp; Aesthetics,"12751 Poway Road, Suite 101",,Poway,California,92064,858-679-7070,tlcaesthetics@yahoo.com,http://tlcaesthetics.org/,32.9553313,-117.054632,SkinscriptrxscraperItem
Skin by Stacy @ Studio B,1347 Tavern Rd,,Alpine ,CA,91901,(619) 820-0679,,,32.8369512,-116.7777275,SkinscriptrxscraperItem
Skin Diva Spa,414 N Marshall St,Suite B ,Casa Grande,AZ,85122,(623) 512-5967,whitehse7@gmail.com,http://www.skindivaaesthetics.com,32.877818,-111.751645,SkinscriptrxscraperItem
DermaHealth Institute of Ahwatukee,"1345 E. Chandler Blvd., Bldg 1, Ste 105",,Phoenix,Arizona,85048,480-460-1505,,http://www.dermahealthinstitute.com,33.3049428,-112.0528314,SkinscriptrxscraperItem
Stephanie Betts @ Serendipity Skin,950 E Pecos Rd. Suite #11 ,Room #9,Chandler,AZ,85225,480-332-8619,bettsskin@gmail.com,,33.29178,-111.8254823,SkinscriptrxscraperItem
Tranquil Waters Med Spa,"6510 S. Highley Rd., Suite 102",,Gilbert,AZ,85298,480-773-5772,,http://www.tranquilwatersmedspa.com/,33.2327062,-111.7213375,SkinscriptrxscraperItem
Abby Milord Skin Care with Susan Rhodes L.E.,6318 S Higley Rd,"Suite 102, Studio #16",Gilbert,AZ,85298,480-427-1979,abbymilord@gmail.com,http://www.abbymilord.com,33.235198,-111.72259,SkinscriptrxscraperItem
Radiance Skin Spa/Paula McPherson,"4100 S. Lindsay Rd, Bldg. 6, Suite 121",Inside Expressions Wax Spa,Gilbert,AZ,85297,602-370-1875,mcphersonfamily@cox.net,http://radianceskinspa.com/,33.2749274,-111.7733829,SkinscriptrxscraperItem
Face It Skincare,1006 E Warner Rd.,Suite 110,Tempe,,85284,(480) 518-2775,faceitskincareaz@gmail.com,http://www.faceitskincareaz.com,33.3353841,-111.9270761,SkinscriptrxscraperItem
Just For You Salon,1730 E. Warner Rd. ,Ste. 5,Tempe,AZ,85284,480-752-8100,,http://www.justforyouintempe.com/,33.3352783,-111.9127525,SkinscriptrxscraperItem
Therapeutic Retreat,8058 S. Priest Dr.,Suite 101,Tempe,AZ,85284,(480) 626-6200,Relax@TherapeuticRetreat.com,http://www.therapeuticretreat.com,33.3418237,-111.9631435,SkinscriptrxscraperItem
DermaHealth Institute of Chandler,"2905 W. Warner Rd., Suite 17",,Chandler,Arizona,85224,480-730-9000,,http://www.dermahealthinstitute.com,33.333925,-111.891194,SkinscriptrxscraperItem
Sundance Spa &#038; Salon,10831 S. 51st Street,,Phoenix,AZ,85044,(480) 893-0300,info@sundancespaandsalon.com,http://sundancespasalon.com/,33.3478353,-111.9734502,SkinscriptrxscraperItem
Love Your Skin by Misty,3251 E Bonanza Rd,,Gilbert,AZ,85297,(480) 266-9016,loveyourskinbymisty@gmail.com,,33.288204,-111.719583,SkinscriptrxscraperItem
"A Unique Boutique &#038; Spa, LLC",3121 Cross Timbers Rd,Suite 400,Flower Mound,TX,75028, (469) 240-9673,,http://www.auniqueboutiquespa.com/,33.037377,-97.078671,SkinscriptrxscraperItem
Auraa Spa &#038; Restoration / Farzeen Elavia,Bellezza Salon Suites,"6101A Windhaven Pkwy, Suite 150",Plano,TX,75093,469-631-1010 (phone or text),,http://www.auraaspa.com/,33.0386278,-96.8243812,SkinscriptrxscraperItem
M Esthetics,3700 Legacy Drive,,Frisco,TX,75034,972-638-8039,mesthetics1@gmail.com,http://www.monicaesthetics.com/,33.109895,-96.8389909,SkinscriptrxscraperItem
Skin Integrity Clinical Skincare,5925 Forest Ln,,Dallas,TX,75230,972-980-0833,casskiss@sbcglobal.net,,32.9101989,-96.8053493,SkinscriptrxscraperItem
Cynthia&#8217;s Wax &#038; Skincare Studio,4425 N. Central Expressway,Suite 41,Dallas,TX,75205,(214) 207-2430,Butterflycyn@aol.com ,http://www.butterflycyn.com/,32.8199721,-96.7878514,SkinscriptrxscraperItem
Destiny Day Spa by Donyea,"905 Market St, Suite 200-136",,Allen,TX,75013,469-667-1638,Destiny.dspa@gmail.com,http://www.destinyspa.net/,33.0872479,-96.6834712,SkinscriptrxscraperItem
Avila Skin Studio,6851 Virginia Pkwy #203,,McKinney,TX,75071,469-283-8185,Amy@AvilaSkinStudio.com,http://www.avilaskinstudio.com/,33.198395,-96.7078028,SkinscriptrxscraperItem
Spa Angelique,109 West Oak St. ,,Griffin,CA,30224,678-972-6297,adk4287@gmail.com,,33.2430782,-84.2649264,SkinscriptrxscraperItem
Total Wellness,208 E. 2nd N St.,,Summerville,SC,29483,(843) 261-8911,,http://www.mytotalwellnessmedical.com/,33.02122,-80.170858,SkinscriptrxscraperItem
Linda Martin,,,San Pedro,California,,310-514-9372,lindachacon@gmail.com,,33.7358518,-118.2922934,SkinscriptrxscraperItem
The Laser Image Company,1728 S. Catalina,Suite 4,Redondo Beach,CA,90277,310-543-9073,newlaserimage@gmail.com,http://www.newlaserimage.com,33.817459,-118.387371,SkinscriptrxscraperItem
Tru Skin Rituals,711 W 17th St.,Suite C-2,Costa Mesa,CA,92627,(714) 906-4356,jamie@truskinrituals.com,http://www.truskinrituals.com,33.6352434,-117.9286253,SkinscriptrxscraperItem
The Beauty Room,16785 Beach Blvd,Suite A,Huntington Beach,CA,92647,714-841-2131 or 714-296-8789,brigoodall@gmail.com,http://thebeautyroombythebeach.com/,33.718855,-117.989265,SkinscriptrxscraperItem
Studio Cosmetique (inside Tranquility Spa &#038; Salon),"17775 Main St., Ste L",,Irvine,California,92614,888-981-9440,info@studiocosmetique.com,http://www.studiocosmetique.com/,33.6867692,-117.8581596,SkinscriptrxscraperItem
Massage Serene Spa/Myranda Poletiek,16561 Bolsa Chica St,Suite 100,Huntington Beach,CA,92649,714-477-0525,,http://massageserenespa.com/,33.7215505,-118.0421,SkinscriptrxscraperItem
Radiant Faces and Wraps,,,Aliso Viejo,CA,92656,949-466-0825,tanya@radiantfacesandwraps.com,http://www.radiantfacesandwraps.com/,33.5676842,-117.7256083,SkinscriptrxscraperItem
Spa Alana,34179 Golden Lantern,Suite 101,Dana Point,CA ,92629,949-276-5827,,http://www.skincarebyalana.com,33.466151,-117.698216,SkinscriptrxscraperItem
Jessie Oshann- Thairapy Salon and Spa,120 Marina Drive,,Long Beach,CA,90803,562.430.2355,THAIRAPYSALONSPA@YAHOO.COM,http://www.thairapysalonlongbeach.com/,33.7475761,-118.1138273,SkinscriptrxscraperItem
Come Spa With Me,Come Spa With Me  28251 Crown Valley Pkwy. Ste. J,Located inside the Ralph's shopping center.,Laguna Niguel,CA,92677,949-916-7351,info@comespawithmeoc.com,http://www.comespawithmeoc.com/index.html,33.5547479,-117.68672,SkinscriptrxscraperItem
Le Petit Skin Retreat,"13481 Euclid Street, Ste D",,Garden Grove,CA,92843,(714) 363-7869,hello@lepetitskin.com,http://www.lepetitskin.com,33.7672331,-117.9381891,SkinscriptrxscraperItem
Adonis Spa,1218 Irvine Blvd Suite 15,,Tustin,CA,92780,714.904.2240,spagirl64@gmail.com,,33.7460318,-117.8089315,SkinscriptrxscraperItem
Massage Green Spa | Santa Ana,"1945 E 17th St, Suite 107",,Santa Ana,CA,92705,714-604-4644,,http://www.massagegreenspa.com/#!santa-ana-california/cwur,33.7609429,-117.838456,SkinscriptrxscraperItem
Dare to be Bare,10181 Valley View St,Suite 109,Cypress,CA,90630,(714) 651-1935,Myndeec33@yahoo.com,,33.8146517,-118.0294207,SkinscriptrxscraperItem
Augusta Sweet | Sacred Skincareapy (inside Skin Diversity Day Spa),421 Pine Ave,,Long Beach,CA,90802,(562) 980-2696,skincareapist@gmail.com,http://sacredskincareapy.skincaretherapy.net/,33.7720194,-118.1927635,SkinscriptrxscraperItem
Pure Skin &#038; Body Lounge,1421 N Wanda Rd,Suite 180,Villa Park,CA,92867,714-450-5118,devyn@psblounge.com,http://www.psblounge.com/,33.8111554,-117.8216345,SkinscriptrxscraperItem
LaRue&#8217;s Massage &#038; Bodywork Spa,29950 Hunter Road #101,,Murrieta,CA,92563,(951) 461-8377,laruesmassage@gmail.com,http://www.laruesmassageandbodywork.com/,33.5693063,-117.1365165,SkinscriptrxscraperItem
Advanced Dermatology &#038; Skin Cancer Specialists | Eulalia Papineau,31720 Temecula Parkway,Suite 200,Temecula,CA,92592,951-303-6900,lvlvllaugh@hotmail.com,http://www.advanceddermspecialists.com/,33.4803722,-117.103519,SkinscriptrxscraperItem
Captivating Skin by Margo: Margo Koeller,19771 Grandview Dr.,,Corona,CA,92881,951-818-4808 ,captivatiingskin@aol.com,http://www.captivating.skincaretherapy.net/,33.832566,-117.52592,SkinscriptrxscraperItem
Facial Garden Skin Care &#038; Wellness,1211 W. Acacia Avenue Ste. P,,Hemet,CA,92543,(951) 255-0994,facial_garden@yahoo.com,http://www.facialgardenspa.com,33.7435095,-116.9837619,SkinscriptrxscraperItem
Stacy Luzzi,73-725 El Paseo  ,Suite 21-C   ,Palm Desert,CA,92260,760-567-9246,stacyluzzi@gmail.com ,http://www.stacyluzzi.com,33.7195772,-116.3789096,SkinscriptrxscraperItem
Nataliya Levytska,,,Palm Desert,California,,760-298-4408,iteatralka@aol.com,,33.7222445,-116.3744556,SkinscriptrxscraperItem
Kahnema Melkesian,50795 Calle Guymas,,LaQuinta,California,92253,760-485-2420 &amp; 760-564-4801,melkesian@aol.com,,33.679887,-116.291747,SkinscriptrxscraperItem
Sally Peoples Aesthetics,39935 Vista Del Sol,Suite 204,Rancho Mirage,CA,92270,760-641-3743,sallypeoples@ymail.com,,33.758488,-116.3988671,SkinscriptrxscraperItem
Salon 119 &#038; Spa/Nikki Roman,"245 South Palm Canyon Dr., Suite 5",,Palm Springs,California,92262,(760) 327-4800,nikkibskincare@yahoo.com,http://www.salon119.com/,33.8204024,-116.5469481,SkinscriptrxscraperItem
