Name_of_Church,Address,City,State,Zip,Phone,Pasors,Email,Web,ONA,Accessible,Fax,Latitude,Logitude,Distance,_type
Church on the Hill,251 SW Fourth Ave ,Boca Raton ,FL,33432-5707,561-395-9255,Thomas C. Lacey ,office@churchofboca.org,http://www.churchofboca.org,N,Y,561-395-6409,26.346959,-80.094232,34.7,UccscraperItem
Church of the Palms ,1960 N Swinton Ave ,Delray Beach ,FL,33444-4399,561-276-6347,Brad S Lutz ,churchofthepalms@bellsouth.net,http://www.churchofthepalms.net,Y,Y,561-276-6344,26.48472,-80.07396,42.6,UccscraperItem
Congregational UCC ,115 N Federal Hwy ,Boynton Beach ,FL,33435-4114,561-734-1699,Georgia A. Hillesland,bbucc2011@hotmail.com,,N,Y,561-734-9750,26.526969,-80.058494,36.5,UccscraperItem
Congregational UCC ,1201 Aqui Esta Dr ,Punta Gorda ,FL,33950-8645,941-637-8443,Michael Ford ,office@puntagorda-ucc.com,http://www.puntagorda-ucc.com,Y,Y,941-637-8001,26.909376,-82.058949,39.2,UccscraperItem
United Church of Christ ,620 Shamrock Blvd ,Venice ,FL,34293-1738,941-493-6741,Donald H. Wilson ,veniceucc@gmail.com,http://www.veniceucc.org,Y,Y,941-497-3157,27.073563,-82.403046,39.9,UccscraperItem
North Port Community United Church of Christ,3450 S Biscayne Dr ,North Port ,FL,34287-5448,941-426-5580,Attila Szemesi ,northportucc@juno.com,http://www.northportucc.org,N,Y,941-426-7370,27.058048,-82.244353,41.5,UccscraperItem
Pilgrim United Church of Christ ,24515 Rampart Blvd ,Port Charlotte ,FL,33980-2702,941-629-2633,Matthew L. Neumann ,puccpc@hotmail.com,http://www.pilgrimonline.org,N,Y,941-629-1657,27.002285,-82.039903,34.7,UccscraperItem
Union Congregational UCC ,5088 Summit Blvd ,West Palm Beach ,FL,33415-3721,561-686-0330,Sheila H. Guillaume ,office@unionucc.net,http://www.unionucc.net,Y,Y,561-686-0330,26.66244,-80.12124,26,UccscraperItem
First Congregational UCC ,1415 N K St ,Lake Worth ,FL,33460-1816,561-582-6691,Jason D. Fairbanks ,fcclw@bellsouth.net,http://www.fcclw.org,Y,Y,561-582-5161,26.63226,-80.05488,29,UccscraperItem
Community UCC ,501 Park Ave ,Lake Park ,FL,33403-2603,561-848-3003,Mark W. Goforth ,lpfucc@dbsinfla.com,http://www.dbsinfla.com/lpfucc/,Y,Y,561-848-3049,26.79828,-80.06496,33.9,UccscraperItem
Saint Andrew UCC ,6908 Beneva Rd ,Sarasota ,FL,34238-2607,941-922-7595,Greg Russell,st.andrewucc@verizon.net,http://www.uccstandrew.org,Y,Y,941-924-6779,27.25572,-82.49784,35.6,UccscraperItem
Magyar Christian Church UCC ,4835 Beneva Rd,Sarasota,FL,34233-2110,(954)614-4524,Rev. Peter P. Bodor ,,,N,Y,-,27.282899,-82.497485,36.6,UccscraperItem
First Congregational UCC ,1031 S Euclid Ave ,Sarasota ,FL,34237-8124,941-953-7044,Wesley D. Bixby ,uccsarasota@aol.com,http://www.uccsarasota.com,Y,Y,941-952-5245,27.32544,-82.51836,37.2,UccscraperItem
Congregational UCC ,3700  26th St W ,Bradenton ,FL,34205-3506,941-756-1018,Robert Sichta ,ucc.church2@verizon.net,http://www.bradentoncongregationalchurch.org/,Y,Y,941-756-6418,27.447845,-82.587763,39.9,UccscraperItem
Faith UCC,4850 E State Rd 64 ,Bradenton ,FL,34208-5527,941-746-8890,Brian S. Bagley-Bonner  & Judith Bagley-Bonner ,faithchurchucc@verizon.net,http://www.faithchurchucc.com,Y,Y,941-746-0670,27.497056,-82.501284,34.2,UccscraperItem
Emmanuel UCC ,3115 Hope St ,Sebring ,FL,33875,863-471-1999,George N. Miller ,euccfl@gmail.com,http://www.euccfl.org/,N,Y,863-471-9699,27.47052,-81.49842,32.4,UccscraperItem
Union Congregational UCC ,106 N Butler Ave ,Avon Park ,FL,33825-3138,863-453-3345,William R Breylinger ,apunion@embarqmail.com,null,N,Y,863-453-0118,27.597725,-81.503675,41.2,UccscraperItem
Faith Congregational Church ,2199 SW Savona Blvd ,Port Saint Lucie ,FL,34953,772-879-6155,Robert Hunter ,faithpsl@bellsouth.net,http://www.faithchurchpsl.com,N,Y,(772)879-6359,27.275056,-80.386201,42.3,UccscraperItem
First Congregational UCC ,2401 SE Sidonia St ,Port Saint Lucie ,FL,34952-5437,772-335-2091,,firstcongpsl@gmail.com,http://www.firstcongpsl.com,N,Y,772-335-2246,27.27072,-80.30394,22.2,UccscraperItem
Jensen Beach Community UCC ,3900 NE Skyline Dr ,Jensen Beach ,FL,34957-3837,772-334-0716,Jason A. Leader ,jbccoffice@gmail.com,http://www.jensenbeachcommunitychurch.org,Y,Y,772-334-2935,27.25272,-80.23314,23.9,UccscraperItem
First Congregational UCC ,3601 Kirby Loop Rd ,Fort Pierce ,FL,34981-6005,772-465-2082,Marshall L Cook ,,http://www.firstcongfp.org/,N,Y,772-465-2082,27.414552,-80.361185,29.8,UccscraperItem
St. Paul United Church of Christ of Corpus Christi,5525 Lipes Blvd ,Corpus Christi ,TX,78413-5512,361-994-8899,The Rev. Burton Bagby-Grose,pastorburton@stpaulucctx.org,http://www.stpaulucctx.org,Y,Y,361-994-8912,27.676222,-97.391368,39.3,UccscraperItem
Pass-a-Grille Beach Community UCC ,107 16th Ave ,Saint Pete Beach ,FL,33706-4211,727-360-5508,Keith A. Haemmelmann ,admin@pagchurch.org,http://www.pagchurch.org,N,Y,727-367-1966,27.693718,-82.736137,21,UccscraperItem
Pilgrim Congregational UCC ,6315 Central Ave ,St. Petersburg ,FL,33710-8432,727-347-1226,Wayne A. Robinson ,pcucc4dosglob@aol.com,http://www.pilgrimcongregationuccstpeteflorida.com/,N,Y,,27.77058,-82.72398,25.2,UccscraperItem
Lakewood UCC ,2601  54th Ave S ,Saint Petersburg ,FL,33712-4700,727-867-7961,Kim P. Wells ,lakewooducc@gmail.com,http://www.lakewooducc.org,Y,Y,727-867-7961,27.71898,-82.66842,25.3,UccscraperItem
Chapel On the Hill Inc UCC ,12601 Park Blvd N ,Seminole ,FL,33776-3632,727-391-2919,Martin Gwent Lewis ,coth@coth.org,http://www.coth.org,N,Y,727-397-9369,27.84448,-82.8138,26.3,UccscraperItem
Trinity UCC ,1150  49th St N ,Saint Petersburg ,FL,33710-6099,727-321-1088,,tuccoffice@gmail.com,http://www.trinityuccstpete.org,Y,Y,,27.783,-82.69974,26.8,UccscraperItem
Good Samaritan Church ,6085 Park Blvd ,Pinellas Park ,FL,33781-3232,727-544-8558,Jennifer Daysa,goodsam-church@tampabay.rr.com,http://www.goodsam-church.org,Y,Y,727-544-8558,27.83899,-82.71767,29.1,UccscraperItem
Church of the Isles UCC ,200 24th Ave ,Indian Rocks Beach ,FL,33785-3099,727-595-1038,,churchoftheisles@gmail.com,http://www.churchoftheisles.org,N,Y,727-517-1258,27.905653,-82.846192,29.5,UccscraperItem
Faith United Church of Christ ,1650 Pinehurst Rd,Dunedin,FL,34698-3842,(727)799-4602,Michael MacMillan,office@faithucc.org,http://www.faithucc.org,Y,Y,727-791-1975,28.028827,-82.771666,39,UccscraperItem
SouthShore United Church of Christ,1501 La Jolla Ave ,Sun City Center ,FL,33573-5329,813-634-1304,Timothy W. Shirley ,uccscc1@gmail.com,http://www.uccsuncitycenter.org,N,Y,813-633-9033,27.71826,-82.35606,42.3,UccscraperItem
Faith Family United Church of Christ,1607 Lithia Pinecrest Road,Brandon,FL,33511,(813)530-4994,Katherine F. Rooke,info@faithfamilyucc.org,http://www.faithfamilyucc.org/,Y,Y,,27.917091,-82.264423,32.1,UccscraperItem
First United Church ,7308 E Fowler Ave ,Tampa ,FL,33617-1806,813-988-4321,Bernice Powell Jackson ,churchoffice@ucctampabay.org,http://www.ucctampabay.org,Y,Y,813-988-4321,28.05414,-82.36854,39,UccscraperItem
Trinity Congregational UCC ,1011 State Rd 540 W ,Winter Haven ,FL,33880-1758,863-294-2047,,office@uccwh.org,http://www.uccwh.org,Y,Y,,28.003537,-81.754804,37.8,UccscraperItem
Christ's Promise,1145 US Hwy 92 W ,Auburndale ,FL,33823-4023,863-226-2290,Pamela C. Braid ,christspromiseucc@gmail.com,http://www.christspromise.org,Y,Y,,28.058998,-81.795347,40.5,UccscraperItem
United Church of Sebastian UCC ,1251 Sebastian Blvd ,Sebastian ,FL,32958-5192,772-388-0461,Ryan Maschhoff,ucs1251@bellsouth.net,http://www.unitedchurchofsebastian.org,N,Y,772-388-0488,27.774107,-80.501386,35.9,UccscraperItem
Community Church UCC ,1901 23rd St ,Vero Beach ,FL,32960-3426,772-562-3633,Casey Garrett Baggott  & Robert T. Baggott III ,info@ccovb.org,http://www.ccovb.org,N,Y,772-562-9425,27.64176,-80.40468,37.8,UccscraperItem
Riviera United Church of Christ ,451 Riviera Dr NE ,Palm Bay ,FL,32905-6328,321-723-3963,Timothy Hough Woodard ,office@rivieraucc.org,http://www.rivieraucc.org,Y,Y,321-723-1281,28.023879,-80.644823,42.1,UccscraperItem
Faith United Church of Woodsboro,405 Wood Ave ,Woodsboro ,TX,78393,361-543-4168,Mr. Daesub Han,FaithUnited@gmail.com,http://www.faithunitedwoodsboro.org,N,Y,361-543-4168,28.228509,-97.374618,41.3,UccscraperItem
Holiday United Church of Christ ,4826 Bartelt Rd ,Holiday ,FL,34690-5527,727-937-1520,Hank Johnson,holidayucc@verizon.net,http://www.holidayucc.com,N,Y,727-937-1520,28.184444,-82.735982,20.5,UccscraperItem
Community Congregational UCC ,6533 Circle Blvd ,New Port Richey ,FL,34652-2324,727-849-1943,Victoria Marie Snow ,cccnpr@verizon.net,http://www.cccnpr.org,N,Y,727-847-4280,28.25238,-82.7202,24.4,UccscraperItem
Spring Hill UCC ,4244 Mariner Blvd ,Spring Hill ,FL,34609-2471,352-683-4870,Robin A. Labolt ,office@shucc.org,http://www.shucc.org,Y,Y,352-683-1013,28.493454,-82.539737,34.1,UccscraperItem
All Faiths UCC ,34006 Cortez Blvd ,Ridge Manor ,FL,33523-9303,352-583-4186,Martha Blevins ,suz5437@aol.com,null,N,Y,null,28.5234,-82.17642,41.1,UccscraperItem
Union United Church of Christ ,10710 Park Ridge-Gotha Rd ,Windermere ,FL,34786-8658,407-876-2112,Barton R Buchanan ,office@windermereunion.org,http://www.windermereunion.org,N,Y,407-876-2113,28.519924,-81.53683,35.9,UccscraperItem
First United Church of Christ of Orlando Inc ,4605 Curry Ford Rd ,Orlando ,FL,32812-2712,407-277-4945,,firstuccorlando@gmail.com,http://www.firstuccorlando.org,Y,Y,,28.52394,-81.32898,37.6,UccscraperItem
First Congregational UCC ,225 Interlachen Ave S ,Winter Park ,FL,32789-4411,407-647-2416,Shawn Garvey ,fccwp@fccwp.org,http://www.fccwp.org,Y,Y,407-647-5921,28.596,-81.34908,42.1,UccscraperItem
Crossroads Community UCC ,2436 Croton Rd ,Melbourne ,FL,32935-3456,321-259-3356,,churchoffice@crossroadscommunityucc.org,http://www.crossroadscommunityucc.org,N,Y,321-259-3356,28.14656,-80.655457,23.3,UccscraperItem
Hope United Church of Christ ,2555  Fiske Blvd ,Rockledge ,FL,32955-3901,321-636-0250,Earl E. Eisenbach ,hopeunitedchurch@bellsouth.net,http://www.hopeucc.com,Y,Y,321-638-4576,28.315901,-80.743072,26.8,UccscraperItem
Cocoa Beach Community Church UCC ,126 South  Atlantic Ave ,Cocoa Beach ,FL,32932-0009,321-783-3961,,michelle@cbcc-ucc.org,http://www.cbcc-ucc.org/,N,Y,321-783-0582,28.314398,-80.609731,32.2,UccscraperItem
Marion Oaks Community Congregational UCC ,15050 SW 29th Terrace Rd ,Ocala ,FL,34473-2904,352-245-9064,David Arthur Wild ,mrshughes@embarqmail.com,http://www.mouccfl.weebly.com,N,Y,null,28.977338,-82.173598,38.4,UccscraperItem
UCC at the Villages ,UCC at the Villages,Oxford,FL,34484-2935,352-748-9199,Drew M Willard ,uccatvoffice@aol.com,http://www.villagesucc.org,Y,Y,,28.939254,-82.016369,42.2,UccscraperItem
Pilgrims' UCC ,509 County Rd 468 ,Fruitland Park ,FL,34731-3819,352-365-2662,,office@pucc.info,http://www.pucc.info,Y,Y,null,28.85241,-81.916747,42.9,UccscraperItem
Union Congregational UCC ,302 St Clair Abrams Ave ,Tavares ,FL,32778-3065,352-343-6183,Elizabeth M. Clement  & Kenneth H. Frey ,ucchurch4@gmail.com,http://www.unioncctavares.com/,N,Y,352-343-6183,28.80384,-81.72582,26.7,UccscraperItem
Altamonte Chapel Community UCC ,825 E Altamonte Dr ,Altamonte Springs ,FL,32701-5001,407-339-5208,Robert E. Melhorn ,achapel@altamontechapel.com,http://www.altamontechapel.com,N,Y,,28.663207,-81.361985,40.4,UccscraperItem
Longwood Hills Congregational Church UCC ,1255 EE Williamson Rd ,Longwood ,FL,32750-7134,407-332-8253,James T Mory ,office@longwoodhillschurch.org,http://www.longwoodhillschurch.org,N,Y,null,28.712819,-81.376147,40.7,UccscraperItem
United Church of Christ ,1649 Providence Blvd ,Deltona ,FL,32725-4928,(386)960-7784,,deltonaunited@cfl.rr.com,,N,Y,(386)960-7785,28.903201,-81.228199,32.3,UccscraperItem
First Congregational UCC ,201 W University Ave ,Orange City ,FL,32763-5157,386-775-2462,Jack E. Fielding,firstucc_ocy@yahoo.com,http://www.orangecityucc.org/,N,Y,null,28.950534,-81.300214,33.3,UccscraperItem
First Congregational UCC ,107 S Euclid Ave ,Lake Helen ,FL,32744-2914,(386)218-5976,Frank R. Faine ,LakeHelenUCC@cfl.rr.com,http://www.lakehelen-ucc.com,Y,Y,,28.984553,-81.233899,37.1,UccscraperItem
New Hope United Church of Christ ,450 N McDonald Ave,DeLand,FL,32724,(386)473-7429,,delanducc@gmail.com,http://www.newhopeuccdeland.org,Y,Y,,29.034983,-81.287182,39,UccscraperItem
Edgewater Union Church UCC ,500 S Ridgewood Ave ,Edgewater ,FL,32132-2315,386-424-0449,Ned Alan Michael ,,null,N,Y,null,28.987522,-80.905372,34.1,UccscraperItem
United Church of Christ ,203 Washington St ,New Smyrna Beach ,FL,32168-7042,386-428-2352,Diane M. Langworthy ,uccnsb@cfl.rr.com,http://www.uccnsb.com,Y,Y,386-427-2115,29.02692,-80.92464,36.6,UccscraperItem
United Church of Christ ,651 Taylor Rd ,Port Orange ,FL,32127-4711,386-788-0920,,uccpo@bellsouth.net,http://www.portorangeucc.org,N,Y,386-788-8255,29.10684,-81.01092,41.8,UccscraperItem
Community Church,4443 Hunnicut Dr ,San Antonio ,TX,78219-4211,210-333-1603,Rev. Sabrina Jennings,pastorsabrinajennings@gmail.com,http://www.gocommunityucc.org,Y,Y,,29.42922,-98.406395,30.1,UccscraperItem
Bethany Congregational UCC ,500 Pilgrim Dr ,San Antonio ,TX,78213-2826,210-342-6034,Rev. Gerry Metzger ,gwmetzger@gmail.com,http://www.bethanycongregationalucc.org,Y,Y,,29.504326,-98.538263,34.8,UccscraperItem
Redeemer United Church of Christ of Zuehl,7415 Gin Rd ,Marion ,TX,78124-6505,830-914-2168,Rev. Lee M. Zillmann ,rucczuehl@yahoo.com,http://www.redeemerucc.com,N,Y,,29.486011,-98.164629,39.1,UccscraperItem
Friedens United Church of Christ of Beasley,7502 Avenue I ,Beasley ,TX,77417-0112,979-387-2221,The Reverend Joshua A. Lawrence ,friedensucc.beasley@gmail.com,,N,Y,,29.496807,-95.919344,34.6,UccscraperItem
St. John's UCC of Rosenberg,1513 West Street ,Rosenberg ,TX,77471-3159,281-342-5159,Rev. Daniel Haas ,stjohns_ucc@sbcglobal.net,http://www.stjohnsunitedchurchofchrist.org,N,Y,281-342-5159,29.552789,-95.81415,39.7,UccscraperItem
First Congregational UCC ,7171 SW State Rd 200 ,Ocala ,FL,34476-7055,352-237-3035,Harold W. McSwain Jr,uccocala@live.com,http://www.uccocala.org,Y,Y,352-237-1866,29.11068,-82.22532,18.3,UccscraperItem
Union Congregational UCC ,1050 Daytona Ave ,Holly Hill ,FL,32117-2804,386-253-1323,Stephen Heath,unioncongochurch@gmail.com,http://www.unioncongochurch.com,N,Y,,29.24478,-81.03912,32.6,UccscraperItem
Seabreeze UCC ,501 N Wild Olive Ave ,Daytona Beach ,FL,32118-3922,386-252-6314,,seabreezechurchdaytona@gmail.com,http://www.seabreezeunitedchurch.org,N,Y,386-258-1243,29.232834,-81.014183,33.5,UccscraperItem
Faith United Church of Christ ,970 Loop 337 ,New Braunfels ,TX,78130-3521,830-625-6761,Rev. Scott Burgess Martin ,mainoffice@faithuccnbtx.org,http://www.faithuccnbtx.org,Y,Y,,29.712608,-98.102157,28.1,UccscraperItem
Friedens United Church of Christ of Geronimo,2555 Friedens Church Rd ,Seguin ,TX,78155-0242,830-303-7729,The Rev. Dave Phillips & The Rev. Sonja M. Phillips,pastor@peacenbucc.org,http://www.friedens-church.org,N,Y,,29.669676,-98.00221,32.2,UccscraperItem
St. Paul UCC of Lockhart,762 S Main St ,Lockhart ,TX,78644-3464,512-398-3745,Pastor Carlson E. Jakubik ,cjakubik39@gmail.com,,N,Y,,29.875139,-97.670079,32.6,UccscraperItem
Weimar United Church of Christ ,403 W Main St ,Weimar ,TX,78962-1905,979-725-8315,Rev. Jerry L. Carpenter ,weimaruc@cvctx.com,http://www.weimartxucc.com/,N,Y,,29.702826,-96.785069,19,UccscraperItem
Grace United Church of Christ ,8515 Brookwulf Dr ,Houston ,TX,77072-3838,281-575-7866,Rev. David M. Pantermuehl ,graceucchouston@sbcglobal.net,http://graceucchouston.com,Y,Y,281-575-7866,29.687113,-95.607107,26.9,UccscraperItem
Community of Faith Church of Houston,6600 Sanford Rd ,Houston ,TX,77096-5548,713-988-1470,,communityoffaithchurchofhouston@hotmail.com,null,N,Y,713-988-1471,29.658848,-95.506786,31.6,UccscraperItem
First Congregational Church of Houston,10840 Beinhorn Rd ,Houston ,TX,77024-3009,713-468-9543,Jonathan C. Page ,office@fcc-houston.org,http://fcc-houston.org,Y,Y,713-468-5951,29.777521,-95.504265,35.4,UccscraperItem
St. Peter UCC of Houston,9022 Long Point Rd ,Houston ,TX,77055-4610,713-465-1424,Rev. Vicki Sheil-Hopper,pastor.vickihopper@gmail.com,http://www.stpetershouston.org,Y,Y,713-465-4022,29.800192,-95.512095,35.9,UccscraperItem
Cathedral of Hope Houston - UCC,9022 Long Point Rd.,Houston,TX,77055-4610,713-956-0600,The Rev. Lynette Ross,pastor@cohhouston.org,http://cohhouston.org/,Y,Y,,29.7982,	-95.4969,36.6,UccscraperItem
Vision Church of Houston UCC,4606 Mangum Rd.,Houston,TX,77092,832-643-2290,Rev. Joo H. Kang,damdae21@hanmail.net,http://www.vcohucc.org/,N,Y,,	29.8269,-95.471,39,UccscraperItem
Christ United Church of Cypress ,14207 Telge Rd ,Cypress ,TX,77429,281-373-0395,The Rev. Jeffrey L. Willey,cuccypress@sbcglobal.net,http://www.cuccypress.com,N,Y,,29.981758,-95.653787,39.2,UccscraperItem
Just Love Church,1601 Sunset Blvd,Houston,TX,77005-1754,(832)332-6845,Rev. Darnell Fennell,justlovechurch@gmail.com,http://www.justlovehouston.org,N,Y,,29.72313,-95.399541,39.3,UccscraperItem
St. John UCC of Houston,4606 Mangum Rd ,Houston ,TX,77092-3622,713-682-7687,Rev. Dale A. Staggemeier ,rev.dale.staggemeier@gmail.com,,N,Y,713-682-7687,29.835327,-95.462687,39.7,UccscraperItem
Bethel Church UCC ,1107 Shepherd Dr ,Houston ,TX,77007-5427,713-861-6670,Rev. Teddy Kissell,bethelucchouston@sbcglobal.net,http://www.bethelhouston.org,Y,Y,713-861-7130,29.771032,-95.409406,40.1,UccscraperItem
Pilgrim Congregational UCC ,3115 Blodgett Ave,Houston ,TX,77004-5399,713-528-5321,Pastor Keith Edwards,pcucc1@swbell.net,http://www.pilgrimchurchhouston.com,N,Y,713-521-1386,29.72124,-95.3661,41.1,UccscraperItem
Plymouth United Church of Spring,5927 Louetta Rd ,Spring ,TX,77379-7805,281-251-8147,Rev. Kristin Galle ,melaniec@plymouthunited.org,http://www.plymouthunited.org,Y,Y,,30.029747,-95.506875,36.5,UccscraperItem
Immanuel United Church of Christ of Spring,26501 Border St ,Spring ,TX,77373-8301,281-288-3199,Rev. Ronald W. Krueger ,iuoffice@sbcglobal.net,http://www.immanuelspring.org,N,Y,281-288-0799,30.07872,-95.421394,40.1,UccscraperItem
Plymouth Congregational UCC ,1460 Gladys St ,Beaumont ,TX,77701-1218,409-833-1479,,sr4thom@aol.com,,N,N,409-833-1479,30.093689,-94.110368,41.4,UccscraperItem
Hubbard United Church of Christ,RR 1 ,Gueydan ,LA,70542-9801,337-536-6490,,,null,N,N,null,30.020862,-92.53932,36,UccscraperItem
St. Mary's UCC ,213 S Louisiana St ,Abbeville ,LA,70510-6029,337-893-1695,,,null,N,N,null,29.972266,-92.133493,39.3,UccscraperItem
Beard United Church of Christ ,400 S Granger St ,Erath ,LA,70533-3910,null,,,null,N,N,null,29.956232,-92.037656,41.9,UccscraperItem
St. Paul UCC of New Iberia,Pershing St ,New Iberia ,LA,70560,337-367-7390,,,null,N,Y,null,29.991103,-91.840875,35.2,UccscraperItem
Teche United Church of Christ ,106 Church St,New Iberia,LA,70563-2335,,Rev. Paul J. Godfrey ,ruright@bellsouth.net,,N,Y,,30.013019,-91.775795,37.8,UccscraperItem
Belle United Church of Christ ,610 Blackline Rd ,New Iberia ,LA,70563-0341,337-229-8170,,,null,N,N,null,30.028062,-91.723501,40,UccscraperItem
Little Farms UCC ,135 Suave Rd ,River Ridge ,LA,70123-1933,504-737-5858,Rev. Susan Lassalle,info@LittleFarmsUCC.org,http://www.littlefarmsucc.org/,Y,Y,,29.961277,-90.219624,36,UccscraperItem
St. Paul UCC of New Orleans,600 Eleonore St ,New Orleans ,LA,70115-3215,(504)899-5183,Andrew Greenhaw,600stpaulsucc@gmail.com,http://stpaulsuccnola.org,N,Y,,29.919874,-90.120326,36.8,UccscraperItem
Salem United Church of Christ ,4212 Camp St ,New Orleans ,LA,70115-2722,504-895-0392,Rev. Malcolm Richard,salemucc@bellsouth.net,null,N,Y,504-895-0393,29.921602,-90.099282,37.7,UccscraperItem
